1,69
2,57
3,43
4,42
5,128
6,90
7,94
8,99
9,372
10,141
11,73
12,57
13,67
14,61
15,67
16,56
17,203
18,49
19,66
20,73
21,49
22,63
23,63
24,46
25,66
26,46
27,59
28,41
29,65
30,76
31,50
32,43
33,59
34,46
35,74
36,50
37,51
38,103
39,50
40,63
41,59
42,62
43,51
44,60
45,50
46,68
47,52
48,41
49,103
50,64
51,53
52,59
53,66
54,54
55,54
56,66
57,74
58,62
59,54
60,62
61,50
62,59
63,61
64,60
65,73
66,43
67,59
68,49
69,47
70,73
71,189
72,63
73,50
74,55
75,1130
76,97
77,17
78,26
79,18
80,21
81,16
82,15
83,24
84,22
85,18
86,19
87,17
88,18
89,18
90,21
91,17
92,16
93,17
94,17
95,20
96,17
97,20
98,16
99,21
100,19
101,17
102,17
103,19
104,17
105,22
106,17
107,17
108,22
109,22
110,24
111,17
112,19
113,16
114,18
115,20
116,17
117,19
118,17
119,17
120,17
121,18
122,17
123,17
124,18
125,20
126,16
127,18
128,16
129,17
130,19
131,17
132,17
133,17
134,18
135,18
136,17
137,17
138,19
139,17
140,19
141,20
142,17
143,16
144,18
145,19
146,25
147,16
148,14
149,14
150,19
151,15
152,15
153,14
154,16
155,15
156,14
157,15
158,15
159,15
160,15
161,14
162,14
163,34
164,16
165,20
166,17
167,18
168,17
169,20
170,16
171,22
172,15
173,19
174,16
175,13
176,15
177,22
178,16
179,19
180,14
181,18
182,13
183,20
184,24
185,23
186,20
187,15
188,19
189,18
190,19
191,18
192,18
193,15
194,18
195,18
196,20
197,16
198,21
199,16
200,19
201,16
202,13
203,12
204,29
205,21
206,18
207,23
208,19
209,18
210,21
211,20
212,19
213,20
214,23
215,20
216,18
217,19
218,20
219,18
220,23
221,19
222,19
223,18
224,19
225,21
226,20
227,21
228,18
229,22
230,20
231,22
232,21
233,21
234,18
235,20
236,21
237,21
238,22
239,19
240,21
241,19
242,18
243,19
244,24
245,21
246,19
247,19
248,18
249,19
250,15
251,20
252,21
253,22
254,19
255,20
256,21
257,21
258,14
259,22
260,21
261,19
262,19
263,26
264,20
265,21
266,20
267,20
268,20
269,20
270,20
271,18
272,22
273,20
274,21
275,23
276,19
277,19
278,22
279,20
280,20
281,18
282,24
283,21
284,19
285,21
286,19
287,39
288,20
289,18
290,19
291,20
292,20
293,20
294,18
295,19
296,19
297,19
298,19
299,20
300,19
301,19
302,19
303,18
304,21
305,23
306,22
307,19
308,19
309,20
310,20
311,21
312,20
313,18
314,19
315,15
316,23
317,18
318,19
319,21
320,20
321,18
322,19
323,19
324,21
325,22
326,18
327,27
328,52
329,116
330,33
331,30
332,41
333,33
334,26
335,25
336,24
337,24
338,33
339,24
340,24
341,21
342,29
343,23
344,23
345,25
346,40
347,38
348,30
349,26
350,24
351,62
352,32
353,24
354,24
355,28
356,28
357,26
358,27
359,27
360,25
361,25
362,32
363,19
364,23
365,22
366,19
367,22
368,24
369,20
370,47
371,26
372,28
373,23
374,26
375,26
376,34
